0          References for Cross Section of 34S36SO        
           Frandsen et al., 2020 (S2O-No isotope)   
0 Branching ratio for 34S36SO       Total        2 branches
Lambda  Total   34S/36SO   36S/34SO
3735.5  1.870E-20  9.350E-21  9.350E-21
3741.1  1.900E-20  9.500E-21  9.500E-21
3746.8  1.940E-20  9.700E-21  9.700E-21
3752.4  1.970E-20  9.850E-21  9.850E-21
3758.1  2.000E-20  1.000E-20  1.000E-20
3763.8  2.020E-20  1.010E-20  1.010E-20
3769.5  2.050E-20  1.025E-20  1.025E-20
3775.3  2.080E-20  1.040E-20  1.040E-20
3781  2.100E-20  1.050E-20  1.050E-20
3786.8  2.120E-20  1.060E-20  1.060E-20
3792.6  2.150E-20  1.075E-20  1.075E-20
3798.4  2.170E-20  1.085E-20  1.085E-20
3804.2  2.180E-20  1.090E-20  1.090E-20
3810.1  2.200E-20  1.100E-20  1.100E-20
3816  2.210E-20  1.105E-20  1.105E-20
3821.8  2.230E-20  1.115E-20  1.115E-20
3827.7  2.240E-20  1.120E-20  1.120E-20
3833.7  2.240E-20  1.120E-20  1.120E-20
3839.6  2.250E-20  1.125E-20  1.125E-20
3845.5  2.250E-20  1.125E-20  1.125E-20
3851.5  2.250E-20  1.125E-20  1.125E-20
3857.5  2.250E-20  1.125E-20  1.125E-20
3863.5  2.250E-20  1.125E-20  1.125E-20
3869.5  2.240E-20  1.120E-20  1.120E-20
3875.6  2.240E-20  1.120E-20  1.120E-20
3881.7  2.230E-20  1.115E-20  1.115E-20
3887.7  2.220E-20  1.110E-20  1.110E-20
3893.9  2.210E-20  1.105E-20  1.105E-20
3900  2.200E-20  1.100E-20  1.100E-20
3906.1  2.190E-20  1.095E-20  1.095E-20
3912.3  2.180E-20  1.090E-20  1.090E-20
3918.5  2.170E-20  1.085E-20  1.085E-20
3924.7  2.160E-20  1.080E-20  1.080E-20
3930.9  2.150E-20  1.075E-20  1.075E-20
3937.1  2.140E-20  1.070E-20  1.070E-20
3943.4  2.130E-20  1.065E-20  1.065E-20
3949.7  2.120E-20  1.060E-20  1.060E-20
3956  2.110E-20  1.055E-20  1.055E-20
3962.3  2.110E-20  1.055E-20  1.055E-20
3968.6  2.100E-20  1.050E-20  1.050E-20
3975  2.100E-20  1.050E-20  1.050E-20
3981.4  2.090E-20  1.045E-20  1.045E-20
3987.8  2.090E-20  1.045E-20  1.045E-20
3994.2  2.080E-20  1.040E-20  1.040E-20
4000.7  2.080E-20  1.040E-20  1.040E-20
4007.1  2.070E-20  1.035E-20  1.035E-20
4013.6  2.070E-20  1.035E-20  1.035E-20
4020.1  2.060E-20  1.030E-20  1.030E-20
4026.6  2.060E-20  1.030E-20  1.030E-20
4033.2  2.050E-20  1.025E-20  1.025E-20
4039.8  2.040E-20  1.020E-20  1.020E-20
4046.3  2.040E-20  1.020E-20  1.020E-20
4053  2.030E-20  1.015E-20  1.015E-20
4059.6  2.020E-20  1.010E-20  1.010E-20
4066.3  2.010E-20  1.005E-20  1.005E-20
4072.9  2.000E-20  1.000E-20  1.000E-20
4079.6  1.990E-20  9.950E-21  9.950E-21
4086.4  1.970E-20  9.850E-21  9.850E-21
4093.1  1.960E-20  9.800E-21  9.800E-21
