0          References for Cross Section of 34SO3        
Sander 2011
0 Branching ratio for 34SO3      Total        1 branches
Lambda Total 34SO2/O 
2170.5  2.57E-19  2.57E-19
2171  2.56E-19  2.56E-19
2171.5  2.54E-19  2.54E-19
2172  2.53E-19  2.53E-19
2172.5  2.52E-19  2.52E-19
2173  2.51E-19  2.51E-19
2173.5  2.49E-19  2.49E-19
2174  2.48E-19  2.48E-19
2174.5  2.47E-19  2.47E-19
2175  2.46E-19  2.46E-19
2175.5  2.44E-19  2.44E-19
2176  2.43E-19  2.43E-19
2176.5  2.42E-19  2.42E-19
2177  2.41E-19  2.41E-19
2177.5  2.39E-19  2.39E-19
2178  2.38E-19  2.38E-19
2178.5  2.37E-19  2.37E-19
2179  2.36E-19  2.36E-19
2179.5  2.34E-19  2.34E-19
2180  2.33E-19  2.33E-19
2180.5  2.32E-19  2.32E-19
2181  2.31E-19  2.31E-19
2181.5  2.30E-19  2.30E-19
2182  2.29E-19  2.29E-19
2182.5  2.28E-19  2.28E-19
2183  2.27E-19  2.27E-19
2183.5  2.26E-19  2.26E-19
2184  2.25E-19  2.25E-19
2184.5  2.24E-19  2.24E-19
2185  2.23E-19  2.23E-19
2185.5  2.21E-19  2.21E-19
2186  2.20E-19  2.20E-19
2186.5  2.19E-19  2.19E-19
2187  2.18E-19  2.18E-19
2187.5  2.17E-19  2.17E-19
2188  2.16E-19  2.16E-19
2188.5  2.15E-19  2.15E-19
2189  2.14E-19  2.14E-19
2189.5  2.13E-19  2.13E-19
2190  2.12E-19  2.12E-19
2190.5  2.11E-19  2.11E-19
2191  2.10E-19  2.10E-19
2191.5  2.09E-19  2.09E-19
2192  2.08E-19  2.08E-19
2192.5  2.07E-19  2.07E-19
2193  2.06E-19  2.06E-19
2193.5  2.05E-19  2.05E-19
2194  2.04E-19  2.04E-19
2194.5  2.03E-19  2.03E-19
2195  2.02E-19  2.02E-19
2195.5  2.00E-19  2.00E-19
2196  1.99E-19  1.99E-19
2196.5  1.98E-19  1.98E-19
2197  1.97E-19  1.97E-19
2197.5  1.96E-19  1.96E-19
2198  1.95E-19  1.95E-19
2198.5  1.94E-19  1.94E-19
2199  1.93E-19  1.93E-19
2199.5  1.92E-19  1.92E-19
2200  1.91E-19  1.91E-19
2200.5  1.90E-19  1.90E-19
2201  1.89E-19  1.89E-19
2201.5  1.88E-19  1.88E-19
2202  1.88E-19  1.88E-19
2202.5  1.87E-19  1.87E-19
2203  1.86E-19  1.86E-19
2203.5  1.85E-19  1.85E-19
2204  1.84E-19  1.84E-19
2204.5  1.83E-19  1.83E-19
2205  1.82E-19  1.82E-19
2205.5  1.81E-19  1.81E-19
2206  1.81E-19  1.81E-19
2206.5  1.80E-19  1.80E-19
2207  1.79E-19  1.79E-19
2207.5  1.78E-19  1.78E-19
2208  1.77E-19  1.77E-19
2208.5  1.76E-19  1.76E-19
2209  1.75E-19  1.75E-19
2209.5  1.74E-19  1.74E-19
2210  1.74E-19  1.74E-19
2210.5  1.73E-19  1.73E-19
2211  1.72E-19  1.72E-19
2211.5  1.71E-19  1.71E-19
2212  1.70E-19  1.70E-19
2212.5  1.69E-19  1.69E-19
2213  1.68E-19  1.68E-19
2213.5  1.67E-19  1.67E-19
2214  1.67E-19  1.67E-19
2214.5  1.66E-19  1.66E-19
2215  1.65E-19  1.65E-19
2215.5  1.64E-19  1.64E-19
2216  1.63E-19  1.63E-19
2216.5  1.62E-19  1.62E-19
2217  1.61E-19  1.61E-19
2217.5  1.60E-19  1.60E-19
2218  1.60E-19  1.60E-19
2218.5  1.59E-19  1.59E-19
2219  1.58E-19  1.58E-19
2219.5  1.57E-19  1.57E-19
2220  1.56E-19  1.56E-19
2220.5  1.55E-19  1.55E-19
2221  1.55E-19  1.55E-19
2221.5  1.54E-19  1.54E-19
2222  1.53E-19  1.53E-19
2222.5  1.53E-19  1.53E-19
2223  1.52E-19  1.52E-19
2223.5  1.51E-19  1.51E-19
2224  1.50E-19  1.50E-19
2224.5  1.50E-19  1.50E-19
2225  1.49E-19  1.49E-19
2225.5  1.48E-19  1.48E-19
2226  1.48E-19  1.48E-19
2226.5  1.47E-19  1.47E-19
2227  1.46E-19  1.46E-19
2227.5  1.46E-19  1.46E-19
2228  1.45E-19  1.45E-19
2228.5  1.44E-19  1.44E-19
2229  1.43E-19  1.43E-19
2229.5  1.43E-19  1.43E-19
2230  1.42E-19  1.42E-19
2230.5  1.41E-19  1.41E-19
2231  1.41E-19  1.41E-19
2231.5  1.40E-19  1.40E-19
2232  1.39E-19  1.39E-19
2232.5  1.39E-19  1.39E-19
2233  1.38E-19  1.38E-19
2233.5  1.37E-19  1.37E-19
2234  1.36E-19  1.36E-19
2234.5  1.36E-19  1.36E-19
2235  1.35E-19  1.35E-19
2235.5  1.34E-19  1.34E-19
2236  1.34E-19  1.34E-19
2236.5  1.33E-19  1.33E-19
2237  1.32E-19  1.32E-19
2237.5  1.32E-19  1.32E-19
2238  1.31E-19  1.31E-19
2238.5  1.30E-19  1.30E-19
2239  1.29E-19  1.29E-19
2239.5  1.29E-19  1.29E-19
2240  1.28E-19  1.28E-19
2240.5  1.27E-19  1.27E-19
2241  1.27E-19  1.27E-19
2241.5  1.26E-19  1.26E-19
2242  1.26E-19  1.26E-19
2242.5  1.25E-19  1.25E-19
2243  1.25E-19  1.25E-19
2243.5  1.24E-19  1.24E-19
2244  1.24E-19  1.24E-19
2244.5  1.23E-19  1.23E-19
2245  1.23E-19  1.23E-19
2245.5  1.22E-19  1.22E-19
2246  1.21E-19  1.21E-19
2246.5  1.21E-19  1.21E-19
2247  1.20E-19  1.20E-19
2247.5  1.20E-19  1.20E-19
2248  1.19E-19  1.19E-19
2248.5  1.19E-19  1.19E-19
2249  1.18E-19  1.18E-19
2249.5  1.18E-19  1.18E-19
2250  1.17E-19  1.17E-19
2250.5  1.16E-19  1.16E-19
2251  1.16E-19  1.16E-19
2251.5  1.15E-19  1.15E-19
2252  1.15E-19  1.15E-19
2252.5  1.14E-19  1.14E-19
2253  1.14E-19  1.14E-19
2253.5  1.13E-19  1.13E-19
2254  1.13E-19  1.13E-19
2254.5  1.12E-19  1.12E-19
2255  1.12E-19  1.12E-19
2255.5  1.11E-19  1.11E-19
2256  1.10E-19  1.10E-19
2256.5  1.10E-19  1.10E-19
2257  1.09E-19  1.09E-19
2257.5  1.09E-19  1.09E-19
2258  1.08E-19  1.08E-19
2258.5  1.08E-19  1.08E-19
2259  1.07E-19  1.07E-19
2259.5  1.07E-19  1.07E-19
2260  1.06E-19  1.06E-19
2260.5  1.06E-19  1.06E-19
2261  1.05E-19  1.05E-19
2261.5  1.05E-19  1.05E-19
2262  1.04E-19  1.04E-19
2262.5  1.04E-19  1.04E-19
2263  1.03E-19  1.03E-19
2263.5  1.03E-19  1.03E-19
2264  1.03E-19  1.03E-19
2264.5  1.02E-19  1.02E-19
2265  1.02E-19  1.02E-19
2265.5  1.01E-19  1.01E-19
2266  1.01E-19  1.01E-19
2266.5  1.00E-19  1.00E-19
2267  1.00E-19  1.00E-19
2267.5  9.96E-20  9.96E-20
2268  9.91E-20  9.91E-20
2268.5  9.87E-20  9.87E-20
2269  9.83E-20  9.83E-20
2269.5  9.78E-20  9.78E-20
2270  9.74E-20  9.74E-20
2270.5  9.70E-20  9.70E-20
2271  9.65E-20  9.65E-20
2271.5  9.61E-20  9.61E-20
