0          References for Cross Section of O32S32SO        
           Frandsen et al., 2020 (cis-OSSO-No isotope)   
0 Branching ratio for O32S32SO       Total        1 branch
Lambda  Total   32SO/32SO
5004.6  2.19700E-21  2.19700E-21
5014.7  2.13600E-21  2.13600E-21
5024.9  2.07700E-21  2.07700E-21
5035.1  2.01900E-21  2.01900E-21
5045.3  1.96200E-21  1.96200E-21
5055.6  1.90600E-21  1.90600E-21
5066  1.85000E-21  1.85000E-21
5076.3  1.79500E-21  1.79500E-21
5086.7  1.74000E-21  1.74000E-21
5097.2  1.68500E-21  1.68500E-21
5107.7  1.63000E-21  1.63000E-21
5118.2  1.57500E-21  1.57500E-21
5128.8  1.51900E-21  1.51900E-21
5139.5  1.46400E-21  1.46400E-21
5150.1  1.40800E-21  1.40800E-21
5160.8  1.35200E-21  1.35200E-21
5171.6  1.29500E-21  1.29500E-21
5182.4  1.23900E-21  1.23900E-21
5193.3  1.18200E-21  1.18200E-21
5204.2  1.12500E-21  1.12500E-21
5215.1  1.06900E-21  1.06900E-21
5226.1  1.01200E-21  1.01200E-21
5237.1  9.57000E-22  9.57000E-22
5248.2  9.01000E-22  9.01000E-22
5259.4  8.47000E-22  8.47000E-22
5270.5  7.94000E-22  7.94000E-22
5281.8  7.42000E-22  7.42000E-22
5293  6.92000E-22  6.92000E-22
5304.4  6.44000E-22  6.44000E-22
5315.7  5.97000E-22  5.97000E-22
5327.2  5.53000E-22  5.53000E-22
5338.6  5.11000E-22  5.11000E-22
5350.1  4.71000E-22  4.71000E-22
5361.7  4.33000E-22  4.33000E-22
5373.3  3.98000E-22  3.98000E-22
5385  3.66000E-22  3.66000E-22
5396.7  3.35000E-22  3.35000E-22
