0          References for Cross Section of 32S32S        
           Sarka et al., 2023 (4 isotopes but 10 isotopes needed=>No isotope)   
0 Branching ratio for 32S32S       Total        1 branch
Lambda  Total   32S/32S
2243.181857  3.25E-20  3.25E-20
2243.18919  6.99E-20  6.99E-20
2243.196993  5.82E-20  5.82E-20
2243.209718  2.08E-20  2.08E-20
2243.230091  3.86E-20  3.86E-20
2243.242049  2.86E-20  2.86E-20
2243.257112  9.78E-21  9.78E-21
2243.321973  2.19E-20  2.19E-20
2243.336475  2.74E-20  2.74E-20
2243.358051  1.66E-20  1.66E-20
2243.372675  4.08E-20  4.08E-20
2243.384884  1.70E-20  1.70E-20
2243.395865  4.43E-20  4.43E-20
2243.406789  1.26E-20  1.26E-20
2243.420987  1.50E-20  1.50E-20
2243.447113  2.28E-20  2.28E-20
2243.474899  2.98E-20  2.98E-20
2243.484293  4.48E-20  4.48E-20
2243.497253  9.04E-21  9.04E-21
2243.524869  2.06E-20  2.06E-20
2243.545789  1.11E-20  1.11E-20
2243.567544  1.48E-20  1.48E-20
2243.581897  4.59E-20  4.59E-20
2243.594423  3.75E-20  3.75E-20
2243.609873  3.59E-20  3.59E-20
2243.637237  2.72E-20  2.72E-20
2243.649308  2.65E-20  2.65E-20
2243.656768  1.14E-20  1.14E-20
2243.666986  1.32E-20  1.32E-20
2243.675253  1.84E-20  1.84E-20
2243.684131  1.56E-20  1.56E-20
2243.693202  1.37E-20  1.37E-20
2243.70107  1.49E-20  1.49E-20
2243.712469  2.16E-20  2.16E-20
2243.730325  1.96E-20  1.96E-20
2243.741548  7.69E-20  7.69E-20
2243.748259  3.80E-20  3.80E-20
2243.755779  3.46E-20  3.46E-20
2243.765028  1.20E-20  1.20E-20
2243.77572  2.42E-20  2.42E-20
2243.785341  3.90E-20  3.90E-20
2243.798005  1.23E-20  1.23E-20
2243.806819  7.34E-20  7.34E-20
2243.815999  4.62E-20  4.62E-20
2243.82528  1.70E-20  1.70E-20
2243.847208  1.91E-20  1.91E-20
2243.87126  1.06E-20  1.06E-20
2243.8816  3.19E-20  3.19E-20
2243.888562  1.02E-19  1.02E-19
2243.895473  4.53E-20  4.53E-20
2243.913064  7.61E-21  7.61E-21
2243.949076  8.50E-21  8.50E-21
2243.96653  4.30E-20  4.30E-20
2243.976244  5.58E-20  5.58E-20
2243.989236  1.77E-20  1.77E-20
2244.005004  1.50E-20  1.50E-20
2244.020602  8.64E-21  8.64E-21
2244.040072  1.65E-20  1.65E-20
2244.048399  8.51E-20  8.51E-20
2244.054151  4.98E-20  4.98E-20
2244.059999  7.52E-20  7.52E-20
2244.067249  3.56E-20  3.56E-20
2244.073821  5.71E-20  5.71E-20
2244.081311  9.41E-20  9.41E-20
2244.090001  3.26E-20  3.26E-20
2244.100585  2.47E-20  2.47E-20
2244.114243  3.89E-20  3.89E-20
2244.152657  8.19E-21  8.19E-21
2244.178509  1.64E-20  1.64E-20
2244.199797  5.17E-20  5.17E-20
2244.210335  3.87E-20  3.87E-20
2244.221172  1.18E-20  1.18E-20
2244.230502  2.14E-20  2.14E-20
2244.247334  9.90E-21  9.90E-21
2244.28177  2.00E-20  2.00E-20
2244.307492  4.01E-20  4.01E-20
2244.320739  1.18E-20  1.18E-20
2244.32966  5.33E-20  5.33E-20
2244.33776  1.05E-19  1.05E-19
2244.345714  4.24E-20  4.24E-20
2244.357681  2.57E-20  2.57E-20
2244.374356  1.55E-20  1.55E-20
2244.386458  2.35E-20  2.35E-20
2244.398986  3.68E-20  3.68E-20
2244.448066  2.30E-20  2.30E-20
2244.476864  3.83E-20  3.83E-20
2244.488304  5.04E-20  5.04E-20
2244.495419  6.03E-20  6.03E-20
2244.504385  2.71E-20  2.71E-20
2244.532605  1.04E-20  1.04E-20
2244.548013  2.29E-20  2.29E-20
2244.556262  1.16E-20  1.16E-20
2244.564674  1.89E-20  1.89E-20
2244.571842  3.20E-20  3.20E-20
2244.580997  6.01E-20  6.01E-20
2244.597542  1.19E-20  1.19E-20
2244.612366  6.06E-20  6.06E-20
2244.634814  2.73E-20  2.73E-20
2244.654334  5.47E-20  5.47E-20
2244.670382  2.03E-20  2.03E-20
2244.697149  1.46E-20  1.46E-20
2244.731005  1.76E-20  1.76E-20
2244.751697  4.08E-20  4.08E-20
2244.76126  4.15E-20  4.15E-20
2244.77845  8.03E-21  8.03E-21
2244.799224  3.00E-20  3.00E-20
2244.813635  1.89E-20  1.89E-20
2244.829783  5.04E-20  5.04E-20
2244.846809  3.29E-20  3.29E-20
2244.867381  4.52E-20  4.52E-20
2244.881218  1.04E-20  1.04E-20
2244.892356  2.88E-20  2.88E-20
2244.90208  6.03E-20  6.03E-20
2244.913377  1.45E-20  1.45E-20
2244.946971  1.67E-20  1.67E-20
2244.981634  1.59E-20  1.59E-20
2245.025319  4.72E-20  4.72E-20
2245.043236  3.07E-20  3.07E-20
2245.056745  1.31E-20  1.31E-20
2245.063711  6.39E-20  6.39E-20
2245.070541  2.68E-20  2.68E-20
2245.078464  7.63E-21  7.63E-21
2245.090965  2.88E-20  2.88E-20
