0          References for Cross Section of 34SO        32S/O 
           Sarka et al., 2019    
                                                                                
0 Branching ratio for 34SO       Total        1 branch
Lambda  Total   34S/O 
1912.831979  1.39E-17  1.39E-17
1912.839257  2.24E-17  2.24E-17
1912.8469  3.04E-17  3.04E-17
1912.856548  4.66E-18  4.66E-18
1912.869714  5.06E-18  5.06E-18
1912.881723  1.08E-17  1.08E-17
1912.895149  3.05E-18  3.05E-18
1912.909875  8.55E-18  8.55E-18
1912.932096  5.50E-18  5.50E-18
1912.960374  3.18E-18  3.18E-18
1912.968042  1.16E-17  1.16E-17
1912.975244  4.52E-18  4.52E-18
1912.983065  1.77E-17  1.77E-17
1912.991723  2.64E-17  2.64E-17
1913.001362  1.58E-17  1.58E-17
1913.033194  5.11E-18  5.11E-18
1913.046147  1.36E-17  1.36E-17
1913.055747  4.41E-18  4.41E-18
1913.068575  3.29E-18  3.29E-18
1913.078288  1.81E-17  1.81E-17
1913.08694  5.52E-18  5.52E-18
1913.096706  6.27E-18  6.27E-18
1913.104987  1.60E-17  1.60E-17
1913.118  2.94E-18  2.94E-18
1913.137634  8.16E-18  8.16E-18
1913.152851  4.57E-18  4.57E-18
1913.161529  2.38E-17  2.38E-17
1913.171113  1.69E-17  1.69E-17
1913.183632  6.80E-18  6.80E-18
1913.212647  4.46E-18  4.46E-18
1913.227291  7.57E-18  7.57E-18
1913.236232  5.47E-18  5.47E-18
1913.244882  8.99E-18  8.99E-18
1913.252086  6.15E-18  6.15E-18
1913.259232  1.43E-17  1.43E-17
1913.270766  7.76E-18  7.76E-18
1913.296724  7.91E-18  7.91E-18
1913.337924  4.42E-18  4.42E-18
1913.350089  2.06E-17  2.06E-17
1913.360861  1.72E-17  1.72E-17
1913.383148  6.17E-18  6.17E-18
1913.395021  4.36E-18  4.36E-18
1913.403752  1.61E-17  1.61E-17
1913.412876  9.02E-18  9.02E-18
1913.429335  6.36E-18  6.36E-18
1913.44384  9.12E-18  9.12E-18
1913.45499  3.66E-18  3.66E-18
1913.461984  1.94E-17  1.94E-17
1913.46959  1.36E-17  1.36E-17
1913.484682  2.62E-18  2.62E-18
1913.521648  4.05E-18  4.05E-18
1913.553101  4.98E-18  4.98E-18
1913.559588  2.99E-17  2.99E-17
1913.565356  4.23E-17  4.23E-17
1913.571104  1.19E-17  1.19E-17
1913.585488  5.31E-18  5.31E-18
1913.599417  1.39E-17  1.39E-17
1913.606689  3.54E-18  3.54E-18
1913.613536  5.06E-18  5.06E-18
1913.620651  6.72E-18  6.72E-18
1913.633814  6.04E-18  6.04E-18
